cigugun,river,fhza,wmwlc,almwlc,srswlc
경주시,형산강1~9,28740000.0,14,2,3
공주시,금강-03,3050000.0,9,3,5
광주시,한강-04,6730000.000000001,15,10,4
구리시,한강-03,6370000.0,9,2,2
구미시,"낙동강41, 42",14940000.0,8,11,2
김제시,원평천,42000000.0,14,5,3
김해시,낙동강1,9840000.0,6,10,4
나주시,영산강35,726000000.0,11,9,4
나주시,영산강34,284000000.0,13,11,3
나주시,지석천2,1070000000.0,10,2,1
남구,지석천3,1319000000.0,13,11,1
남원시,요천3,994000000.0,7,6,1
논산시,금강-01,85330000.0,11,3,0
당진군,삽교천,51780000.0,8,10,5
밀양시,밀양강1~8,26840000.0,12,7,3
부여군,금강-02,21440000.000000004,10,4,0
아산시,삽교천,11560000.000000002,8,4,0
안성시,안성천-02,26300000.000000004,6,4,3
양산시,"낙동강2, 3",14280000.0,14,4,2
양평군,한강-05,1580000.0000000002,7,8,5
여주군,한강-06,2440000.0,7,4,4
연기군,금강-04,5230000.000000001,14,3,0
영천시,금호강6,4810000.0,7,4,0
예산군,삽교천,41670000.0,17,2,4
오산시,안성천-01,18020000.0,10,11,2
익산시,금강-01,32540000.0,11,11,3
정읍시,고부천,35290000.0,12,2,3
창녕군,낙동강21,17920000.000000004,13,2,5
천안시,안성천-02,18790000.0,15,8,4
청원군,금강-04,16210000.000000002,17,6,4
청주시,금강-04,17930000.0,15,2,1
충주시,한강-07,10050000.000000002,17,2,5
칠곡군,"낙동강40,41",7140000.0,8,11,0
파주시,한강-01,27940000.000000004,10,5,5
파주시,한강-02,17330000.0,6,10,5
평택시,안성천-02,28290000.0,17,10,0
함안군,낙동강20,9680000.0,15,9,4
